Time, row, column, ecoregion, species, Dist, MERCH_ToDOM, MERCH_ToAir, FOL_ToDOM, FOL_ToAir, OtherWoody_ToDOM, OtherWoody_ToAir, CrsRt_ToDOM, CrsRt_ToAir, FRt_ToDOM, FRt_ToAir, BioToFPS
1,5,1,1,querelli,2,732.014,0.000,554.000,0.000,1326.430,0.000,1456.043,0.000,161.783,0.000,2928.056
1,4,1,1,querelli,2,1250.923,0.000,1085.500,0.000,3515.883,0.000,2852.957,0.000,316.995,0.000,5003.693
1,3,1,1,querelli,2,1250.923,0.000,1085.500,0.000,3515.883,0.000,2852.957,0.000,316.995,0.000,5003.693
1,3,2,1,querelli,2,1250.923,0.000,1085.500,0.000,3515.883,0.000,2852.957,0.000,316.995,0.000,5003.693
1,7,9,2,querelli,2,732.014,0.000,554.000,0.000,1326.430,0.000,1456.043,0.000,161.783,0.000,2928.056
1,8,9,2,querelli,2,732.014,0.000,554.000,0.000,1326.430,0.000,1456.043,0.000,161.783,0.000,2928.056
1,2,3,2,querelli,2,1250.923,0.000,1085.500,0.000,3515.883,0.000,2852.957,0.000,316.995,0.000,5003.693
1,3,3,2,querelli,2,1250.923,0.000,1085.500,0.000,3515.883,0.000,2852.957,0.000,316.995,0.000,5003.693
2,2,1,1,querelli,2,355.051,0.000,517.500,0.000,2884.247,0.000,1360.516,0.000,151.168,0.000,1420.202
2,1,1,1,querelli,2,355.051,0.000,517.500,0.000,2884.247,0.000,1360.516,0.000,151.168,0.000,1420.202
2,2,2,1,querelli,2,355.051,0.000,517.500,0.000,2884.247,0.000,1360.516,0.000,151.168,0.000,1420.202
2,1,2,1,querelli,2,355.051,0.000,517.500,0.000,2884.247,0.000,1360.516,0.000,151.168,0.000,1420.202
2,8,9,2,querelli,2,0.000,0.000,74.500,0.000,673.000,0.000,247.019,0.000,54.224,0.000,0.000
2,8,9,2,pinubank,2,0.000,0.000,33.000,0.000,298.000,0.000,117.525,0.000,25.798,0.000,0.000
2,7,9,2,querelli,2,0.000,0.000,74.500,0.000,673.000,0.000,247.019,0.000,54.224,0.000,0.000
2,7,9,2,pinubank,2,0.000,0.000,33.000,0.000,298.000,0.000,117.525,0.000,25.798,0.000,0.000
2,1,9,2,pinubank,2,11.220,0.000,10.500,0.000,38.898,0.000,37.459,0.000,8.223,0.000,44.882
2,2,9,2,pinubank,2,11.220,0.000,10.500,0.000,38.898,0.000,37.459,0.000,8.223,0.000,44.882
3,1,5,2,querelli,2,693.548,0.000,524.000,0.000,1252.261,0.000,1378.123,0.000,153.125,0.000,2774.191
3,2,5,2,querelli,2,693.548,0.000,524.000,0.000,1252.261,0.000,1378.123,0.000,153.125,0.000,2774.191
3,1,4,2,querelli,2,693.548,0.000,524.000,0.000,1252.261,0.000,1378.123,0.000,153.125,0.000,2774.191
3,2,3,2,querelli,2,0.000,0.000,78.500,0.000,711.000,0.000,260.898,0.000,57.270,0.000,0.000
3,2,3,2,pinubank,2,0.000,0.000,33.500,0.000,305.000,0.000,120.188,0.000,26.383,0.000,0.000
4,8,9,2,querelli,2,0.000,0.000,78.500,0.000,711.000,0.000,260.898,0.000,57.270,0.000,0.000
4,8,9,2,pinubank,2,0.000,0.000,33.500,0.000,305.500,0.000,120.365,0.000,26.422,0.000,0.000
4,7,9,2,querelli,2,0.000,0.000,78.500,0.000,711.000,0.000,260.898,0.000,57.270,0.000,0.000
4,7,9,2,pinubank,2,0.000,0.000,33.500,0.000,305.500,0.000,120.365,0.000,26.422,0.000,0.000
4,2,3,2,querelli,2,0.000,0.000,74.500,0.000,672.500,0.000,246.854,0.000,54.187,0.000,0.000
4,2,3,2,pinubank,2,0.000,0.000,33.000,0.000,298.000,0.000,117.525,0.000,25.798,0.000,0.000
4,3,3,2,querelli,2,0.000,0.000,65.500,0.000,591.000,0.000,216.947,0.000,47.623,0.000,0.000
4,3,3,2,querelli,2,0.000,0.000,80.000,0.000,723.500,0.000,265.525,0.000,58.286,0.000,0.000
4,3,3,2,pinubank,2,0.000,0.000,34.000,0.000,307.000,0.000,121.075,0.000,26.578,0.000,0.000
5,4,3,2,querelli,2,654.472,0.000,494.000,0.000,1177.641,0.000,1299.283,0.000,144.365,0.000,2617.887
5,5,3,2,querelli,2,654.472,0.000,494.000,0.000,1177.641,0.000,1299.283,0.000,144.365,0.000,2617.887
5,6,3,2,querelli,2,654.472,0.000,494.000,0.000,1177.641,0.000,1299.283,0.000,144.365,0.000,2617.887
