No substitution factors found for year: 1, market: 300, product: 106
No substitution factors found for year: 1, market: 300, product: 105
No substitution factors found for year: 2, market: 300, product: 106
No substitution factors found for year: 2, market: 300, product: 105
No substitution factors found for year: 3, market: 300, product: 106
No substitution factors found for year: 3, market: 300, product: 105
No substitution factors found for year: 5, market: 300, product: 106
No substitution factors found for year: 5, market: 300, product: 105
No substitution factors found for year: 6, market: 300, product: 106
No substitution factors found for year: 6, market: 300, product: 105
No substitution factors found for year: 7, market: 300, product: 106
No substitution factors found for year: 7, market: 300, product: 105
No substitution factors found for year: 9, market: 300, product: 106
No substitution factors found for year: 9, market: 300, product: 105
No substitution factors found for year: 10, market: 300, product: 106
No substitution factors found for year: 10, market: 300, product: 105
No substitution factors found for year: 4, market: 300, product: 105
No substitution factors found for year: 8, market: 300, product: 105
