Type, YearCreated, YearReported,  Market, FromPool, To_Gas/Pool, AmountEmitted, AmountRetained
5, 1, 1, 300, 204, 1002, 1.958890128706912, 0
5, 1, 1, 300, 204, 204, 0, 97.9366253712931
5, 1, 2, 300, 204, 1002, 1.920477488087954, 0
5, 1, 2, 300, 204, 204, 0, 96.01614788320515
5, 1, 3, 300, 204, 1002, 1.8828180959221612, 0
5, 1, 3, 300, 204, 204, 0, 94.13332978728299
5, 1, 4, 300, 204, 1002, 1.8458971814667677, 0
5, 1, 4, 300, 204, 204, 0, 92.28743260581622
5, 1, 5, 300, 204, 1002, 1.8097002636243218, 0
5, 1, 5, 300, 204, 204, 0, 90.4777323421919
5, 1, 6, 300, 204, 1002, 1.77421314526282, 0
5, 1, 6, 300, 204, 204, 0, 88.70351919692908
5, 1, 7, 300, 204, 1002, 1.739421907647369, 0
5, 1, 7, 300, 204, 204, 0, 86.96409728928171
5, 1, 8, 300, 204, 1002, 1.7053129049810138, 0
5, 1, 8, 300, 204, 204, 0, 85.2587843843007
5, 1, 9, 300, 204, 1002, 1.6718727590525049, 0
5, 1, 9, 300, 204, 204, 0, 83.58691162524819
5, 1, 10, 300, 204, 1002, 1.639088353989166, 0
5, 1, 10, 300, 204, 204, 0, 81.94782327125903
5, 1, 11, 300, 204, 1002, 1.606946831112623, 0
5, 1, 11, 300, 204, 204, 0, 80.3408764401464
5, 1, 12, 300, 204, 1002, 1.575435583895299, 0
5, 1, 12, 300, 204, 204, 0, 78.7654408562511
5, 1, 13, 300, 204, 1002, 1.5445422530159192, 0
5, 1, 13, 300, 204, 204, 0, 77.22089860323518
5, 1, 14, 300, 204, 1002, 1.5142547215120459, 0
5, 1, 14, 300, 204, 204, 0, 75.70664388172314
5, 1, 15, 300, 204, 1002, 1.4845611100273715, 0
5, 1, 15, 300, 204, 204, 0, 74.22208277169577
5, 1, 16, 300, 204, 1002, 1.4554497721525905, 0
5, 1, 16, 300, 204, 204, 0, 72.76663299954318
5, 1, 17, 300, 204, 1002, 1.4269092898574058, 0
5, 1, 17, 300, 204, 204, 0, 71.33972370968577
5, 1, 18, 300, 204, 1002, 1.3989284690120058, 0
5, 1, 18, 300, 204, 204, 0, 69.94079524067376
5, 1, 19, 300, 204, 1002, 1.371496334996806, 0
5, 1, 19, 300, 204, 204, 0, 68.56929890567696
5, 1, 1, 300, 209, 1002, 1.155418471235265, 0
5, 1, 1, 300, 209, 209, 0, 41.09787277876474
5, 1, 2, 300, 209, 1002, 1.12382349237852, 0
5, 1, 2, 300, 209, 209, 0, 39.97404928638622
5, 1, 3, 300, 209, 1002, 1.0930924798801271, 0
5, 1, 3, 300, 209, 209, 0, 38.88095680650609
5, 1, 4, 300, 209, 1002, 1.0632018085345578, 0
5, 1, 4, 300, 209, 209, 0, 37.817754997971534
5, 1, 5, 300, 209, 1002, 1.0341284991688369, 0
5, 1, 5, 300, 209, 209, 0, 36.7836264988027
5, 1, 6, 300, 209, 1002, 1.0058502009766102, 0
5, 1, 6, 300, 209, 209, 0, 35.77777629782609
5, 1, 7, 300, 209, 1002, 0.9783451743355371, 0
5, 1, 7, 300, 209, 209, 0, 34.79943112349055
5, 1, 8, 300, 209, 1002, 0.951592274094395, 0
5, 1, 8, 300, 209, 209, 0, 33.847838849396155
5, 1, 9, 300, 209, 1002, 0.9255709333172248, 0
5, 1, 9, 300, 209, 209, 0, 32.92226791607893
5, 1, 10, 300, 209, 1002, 0.9002611474720084, 0
5, 1, 10, 300, 209, 209, 0, 32.02200676860692
5, 1, 11, 300, 209, 1002, 0.8756434590517017, 0
5, 1, 11, 300, 209, 209, 0, 31.14636330955522
5, 1, 12, 300, 209, 1002, 0.851698942615851, 0
5, 1, 12, 300, 209, 209, 0, 30.29466436693937
5, 1, 13, 300, 209, 1002, 0.8284091902411141, 0
5, 1, 13, 300, 209, 209, 0, 29.466255176698255
5, 1, 14, 300, 209, 1002, 0.8057562973698289, 0
5, 1, 14, 300, 209, 209, 0, 28.660498879328426
5, 1, 15, 300, 209, 1002, 0.7837228490453683, 0
5, 1, 15, 300, 209, 209, 0, 27.876776030283057
5, 1, 16, 300, 209, 1002, 0.7622919065240268, 0
5, 1, 16, 300, 209, 209, 0, 27.11448412375903
5, 1, 17, 300, 209, 1002, 0.7414469942529394, 0
5, 1, 17, 300, 209, 209, 0, 26.37303712950609
5, 1, 18, 300, 209, 1002, 0.7211720872040885, 0
5, 1, 18, 300, 209, 209, 0, 25.651865042302003
5, 1, 19, 300, 209, 1002, 0.7014515985547085, 0
5, 1, 19, 300, 209, 209, 0, 24.950413443747294
5, 1, 1, 300, 200, 1002, 42.56694254620223, 0
5, 1, 1, 300, 200, 200, 0, 102.76569000379777
